"clone_nr","regions","n_regions","clone_types","cell_types","n_cells"
"769","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 1, ENS Progenitor, ENS Branch A, SCP",4
"770","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 2, ENS Branch B 1, Proliferative ENS Progenitor 1, SCP",5
"851","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Lymphoid, Myeloid",15
"858","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Branch A, ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch B 1, ENS Neuroblast",16
"864","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, ENS Branch A",3
"920","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Neuroblast, ENS Progenitor, ENS Branch A, SCP, ENS Branch B 1, Proliferative ENS Progenitor 2, Proliferative ENS Progenitor 1, ENC12",236
"967","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Neuroblast, ENS Branch A",2
"969","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor",2
"974","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Neuroblast, Proliferative ENS Progenitor 1",2
"997","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Neuroblast, ENS Branch A, ENS Progenitor, ENS Branch B 2",8
"1039","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor, ENS Branch B 1",3
"1050","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Neuroblast, ENS Progenitor, Proliferative ENS Progenitor 2, ENS Branch B 1, ENS Branch A, ENS Branch B 2, Proliferative ENS Progenitor 1",10
"1063","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Progenitor, ENS Branch B 1, ENS Branch A, ENS Branch B 2, ENS Neuroblast",6
"1064","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, ENS Branch B 1",4
"1122","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Progenitor, ENS Branch B 2, ENS Neuroblast, ENS Branch A, Proliferative ENS Progenitor 1, ENS Branch B 1, Proliferative ENS Progenitor 2, ENC12",93
"1185","E16_stomach, E16_colon",2,"Single-cell-type multicellular","ENS Branch A, ENS Progenitor, ENS Branch B 2, ENS Branch B 1, Proliferative ENS Progenitor 1, ENS Neuroblast, Proliferative ENS Progenitor 2, ENC12",51
"1201","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor",2
"1205","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor, ENS Neuroblast, Proliferative ENS Progenitor 1",5
"1226","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENC12",2
"1256","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch A, Proliferative ENS Progenitor 2",6
"1259","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Progenitor, ENS Branch B 2",4
"1266","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2",3
"1276","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor",2
"1281","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch B 2, Proliferative ENS Progenitor 2, ENS Branch B 1",10
"1285","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Neuroblast, ENS Branch B 1",2
"1287","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Branch A, ENS Progenitor, ENS Branch B 2",3
"1293","E16_stomach, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor",2
"1299","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, SCP, ENS Branch B 1",3
"1404","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch B 1, SCP",20
"1419","E16_jej_ileum, E16_colon",2,"Multi-cell-type multicellular","Endothelial, Fibroblast 1 (Col6a4/Adamdec1)",11
"1445","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Neuroblast, ENS Branch B 2",2
"1449","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, ENS Branch A, Proliferative ENS Progenitor 2, ENS Branch B 2",7
"1450","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Branch A",2
"1484","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 1, ENS Neuroblast, ENS Progenitor",3
"1568","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","SCP, ENS Branch B 2, ENS Branch B 1, Proliferative ENS Progenitor 2, Proliferative ENS Progenitor 1, ENS Progenitor",16
"1642","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Progenitor, ENS Branch A",11
"1643","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 1, ENS Branch A, ENS Progenitor, ENS Branch B 2",7
"1688","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, ENS Neuroblast, ENS Branch A, ENS Branch B 1, ENS Branch B 2, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2",76
"1704","E16_stomach, E16_jej_ileum, E16_colon",3,"Multi-cell-type multicellular","Myeloid, Lymphoid, Fibroblast 3 (Adam12)",26
"1709","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 1, ENS Branch A, ENC12, ENS Progenitor",4
"1756","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Branch B 1, ENS Neuroblast",4
"1835","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 2, ENS Neuroblast, ENS Branch A, Proliferative ENS Progenitor 2, ENS Branch B 1",7
"1843","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Neuroblast, ENS Progenitor, Proliferative ENS Progenitor 1",4
"1857","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch B 2",4
"1922","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Progenitor, ENS Branch B 1",3
"1942","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch A, ENS Progenitor, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2, ENS Branch B 1",8
"2070","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Endothelial",17
"2089","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch A, ENS Neuroblast, ENS Branch B 2, Proliferative ENS Progenitor 2, ENS Branch B 1",57
"2090","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Neuroblast, ENS Progenitor, ENS Branch A, ENS Branch B 2, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2, ENS Branch B 1",23
"2103","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","Lymphoid, Myeloid",18
"2209","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","Myeloid, Lymphoid",12
"2230","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Neuroblast, ENS Branch A, ENS Progenitor, ENS Branch B 1",22
"2231","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Neuroblast, ENS Progenitor, ENC12, ENS Branch A, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2, ENS Branch B 1",61
"2271","E16_stomach, E16_colon",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Branch B 1",2
"2326","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Branch A, ENS Branch B 2, Proliferative ENS Progenitor 1, ENS Progenitor, ENS Branch B 1",12
"2327","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Neuroblast, ENS Branch B 2, ENS Progenitor, ENS Branch A",5
"2328","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 2, ENS Branch B 2, ENC12, ENS Branch B 1, ENS Branch A, Proliferative ENS Progenitor 1",10
