"Dataset","N_droplets","N_cells","Mean_background_UMI","Mean_marker_background","Mean_contamination_fraction","Median_contamination_fraction"
"E16_colon_E2",1787722,5922,3.47806688131238e-05,0.000176143681532224,0.023,0.023
"E16_ile_E1",844884,1658,8.23933338720703e-05,0.00164528499250632,0.01,0.01
"E16_jejile_E2",2381775,12079,5.1514001846975e-05,0.000818832690954105,0.038,0.038
"E16_stomach_E1",1781509,5437,0.000111886392303975,0.00130661529851037,0.01,0.01
"E16_stomach_E2",2060491,13834,3.9264805419627e-05,0.000584241597496393,0.041,0.041
